GLOBALEVENTID,SQLDATE,MONTHYEAR,YEAR,EventRootCode,QuadClass,GoldsteinScale,AvgTone,Actor1CountryCode,Actor1Type1Code,ActionGeo_ADM1Code,NumMentions,sentiment_label,stability_label,event_polarity,geo_zone,cluster_id,cluster_name,media_intensity,tension_score,sentiment_tb_score,sentiment_tb_label,rf_sentiment_pred,rf_sentiment_proba_neg,rf_sentiment_proba_neu,rf_sentiment_proba_pos
1237743008,2025-04-13,202504,2025,9,2,-2.0,-2.43902439,UNKNOWN,COP,BN,2,negatif,instable,cooperation,sud_centre,0,Evenements neutres,0.2823,2.2195,-0.416,negatif,negatif,1.0,0.0,0.0
1237743636,2025-04-13,202504,2025,17,4,-5.0,-2.43902439,NGA,UNKNOWN,BN,1,negatif,tres_instable,conflit,sud_centre,1,Conflits et tensions,0.1781,3.7195,-0.3014,negatif,negatif,0.99,0.01,0.0
1237748403,2025-04-13,202504,2025,4,1,2.8,-7.630522088,TGO,UNKNOWN,BN,8,negatif,stable,cooperation,sud_centre,0,Evenements neutres,0.5646,2.4153,-0.7799,negatif,negatif,1.0,0.0,0.0
1237736224,2025-04-13,202504,2025,2,1,3.0,1.612903226,BEN,UNKNOWN,BN,20,neutre,stable,cooperation,sud_centre,0,Evenements neutres,0.7823,-0.6935,0.0823,neutre,neutre,0.0,0.98,0.02
1237742897,2025-04-13,202504,2025,4,1,2.8,-2.43902439,BEN,UNKNOWN,BN,6,negatif,stable,cooperation,sud_centre,0,Evenements neutres,0.5,-0.1805,-0.2544,negatif,negatif,1.0,0.0,0.0
1237747804,2025-04-13,202504,2025,4,1,1.9,-7.630522088,BEN,UNKNOWN,BN,8,negatif,stable,cooperation,sud_centre,0,Evenements neutres,0.5646,2.8653,-0.7569,negatif,negatif,1.0,0.0,0.0
1229565301,2025-03-01,202503,2025,5,1,3.4,-4.007285974,UNKNOWN,UNKNOWN,BN,2,negatif,stable,cooperation,sud_centre,0,Evenements neutres,0.2823,0.3036,-0.4187,negatif,negatif,1.0,0.0,0.0
1229565387,2025-03-01,202503,2025,1,1,0.0,-4.007285974,BEN,UNKNOWN,BN,2,negatif,neutre,cooperation,sud_centre,0,Evenements neutres,0.2823,2.0036,-0.4527,negatif,negatif,1.0,0.0,0.0
1229565390,2025-03-01,202503,2025,4,1,1.9,-4.007285974,BEN,UNKNOWN,BN,2,negatif,stable,cooperation,sud_centre,0,Evenements neutres,0.2823,1.0536,-0.3872,negatif,negatif,1.0,0.0,0.0
1229565802,2025-03-01,202503,2025,19,4,-10.0,-7.042253521,UNKNOWN,MED,BN,5,negatif,tres_instable,conflit,sud_centre,1,Conflits et tensions,0.4604,8.5211,-0.6689,negatif,negatif,1.0,0.0,0.0
