GLOBALEVENTID,SQLDATE,MONTHYEAR,YEAR,EventRootCode,QuadClass,GoldsteinScale,AvgTone,Actor1CountryCode,Actor1Type1Code,ActionGeo_ADM1Code,NumMentions,NumArticles,sentiment_label,sentiment_binary,sentiment_enc,stability_label,event_polarity,geo_zone,month,media_intensity,tension_score,EventRootCode_enc,Actor1CountryCode_enc,Actor1Type1Code_enc,GoldsteinScale_scaled,AvgTone_scaled,NumMentions_scaled,cluster_id,cluster_name
1224089144,2025-02-01,202502,2025,12,3,-4.0,-0.939597315,AFR,UNKNOWN,BN18,2,2,neutre,1,1,tres_instable,cooperation,sud_centre,2,0.2823,2.4698,11,0,25,-0.9912196380549034,0.06172511769150784,-0.8103806064252487,1,Conflits et tensions
1224090504,2025-02-02,202502,2025,04,1,2.8,-5.509641873,BEN,UNKNOWN,BN,1,1,negatif,0,0,stable,cooperation,sud_centre,2,0.1781,1.3548,3,5,25,0.4878502887733861,-0.9278981173613077,-1.0572945269166245,0,Evenements neutres
1224027006,2025-02-01,202502,2025,01,1,0.0,-3.008779718,BEN,UNKNOWN,BN,4,4,negatif,0,0,neutre,cooperation,sud_centre,2,0.4135,1.5044,0,5,25,-0.1211785046264978,-0.38634731520996995,-0.316552765442497,0,Evenements neutres
1220156917,2025-01-12,202501,2025,01,1,-0.4,3.250773994,BEN,UNKNOWN,BN09,4,4,positif,1,2,neutre,cooperation,sud_centre,1,0.4135,1.8254,0,5,25,-0.20818261796933837,0.9691317651006294,-0.316552765442497,0,Evenements neutres
1220156918,2025-01-12,202501,2025,01,1,0.0,3.250773994,BEN,UNKNOWN,BN09,5,5,positif,1,2,neutre,cooperation,sud_centre,1,0.4604,1.6254,0,5,25,-0.1211785046264978,0.9691317651006294,-0.0696388449511211,0,Evenements neutres
1220130599,2025-01-12,202501,2025,07,2,8.3,-7.228915663,BEN,UNKNOWN,BN07,2,2,negatif,0,0,tres_stable,cooperation,sud_centre,1,0.2823,-0.5355,6,5,25,1.6841568472374442,-1.3001993648454062,-0.8103806064252487,0,Evenements neutres
1220130600,2025-01-12,202501,2025,15,4,-7.2,-7.228915663,BEN,UNKNOWN,BN07,5,5,negatif,0,0,tres_instable,conflit,sud_centre,1,0.4604,7.2145,14,5,25,-1.6872525447976279,-1.3001993648454062,-0.0696388449511211,1,Conflits et tensions
1220130601,2025-01-12,202501,2025,19,4,-10.0,-7.228915663,BEN,UNKNOWN,BN07,2,2,negatif,0,0,tres_instable,conflit,sud_centre,1,0.2823,8.6145,18,5,25,-2.2962813381975122,-1.3001993648454062,-0.8103806064252487,1,Conflits et tensions
1220136515,2025-01-12,202501,2025,03,1,4.0,-3.448275862,BEN,UNKNOWN,BN,2,2,negatif,0,0,stable,cooperation,sud_centre,1,0.2823,-0.2759,2,5,25,0.7488626288019078,-0.4815182900874797,-0.8103806064252487,0,Evenements neutres
1220156765,2025-01-12,202501,2025,19,4,-10.0,-7.317073171,ZAF,UNKNOWN,BN,10,10,negatif,0,0,tres_instable,conflit,sud_centre,1,0.6161,8.6585,18,82,25,-2.2962813381975122,-1.3192894890562157,1.1649307575057584,1,Conflits et tensions
